ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
IDEA001;New eCommerce Portal;DIR_eCommerce_Commercial;eCommerce;Commercial;In Production;1;9;8;5;250
IDEA002;Checkout Optimization;DIR_eCommerce_Commercial;eCommerce;Commercial;In Development;2;7;9;3;100
IDEA003;Mail Sorting Automation;DIR_Mail_Operations;Mail;Operations;In Acceptance;1;8;10;7;300
IDEA004;ML Recommendations;DIR_DataAI;eCommerce;Data&AI;Ready for Execution;2;8;7;6;140
IDEA005;Mobile Payment System;DIR_Payments_Tech;Payments;Technology;In Development;1;7;9;6;180
IDEA006;Customer Portal Enhancement;DIR_eCommerce_Commercial;eCommerce;Commercial;Backlog;3;6;7;4;120
IDEA007;Fulfilment Tracking System;DIR_Fulfilment_Ops;Fulfilment;Operations;Ready for Acceptance;1;8;8;7;200
IDEA008;Business Analytics Dashboard;DIR_DataAI;Business Solutions;Data&AI;Pitch;1;7;6;5;150
IDEA009;Mail API Integration;DIR_Mail_Tech;Mail;Technology;High Level Design;1;6;8;6;160
IDEA010;Retail POS Upgrade;DIR_Retail_Tech;Retail & Financial Services;Technology;In Approval;1;7;7;8;220
IDEA011;Security Compliance Update;DIR_CISO;eCommerce;CISO;Selected for Production;1;6;10;9;100
IDEA012;Banco CTT Mobile App;DIR_Banco_Tech;Banco CTT;Technology;In Rollout;1;8;9;7;280
IDEA013;Corporate HR System;DIR_Corporate_HR;eCommerce;Corporate;Backlog;1;5;6;4;90
IDEA014;Payment Gateway Update;DIR_Payments_Tech;Payments;Technology;In Definition;2;6;8;7;140
IDEA015;eCommerce Search Enhancement;DIR_eCommerce_Tech;eCommerce;Technology;Ready for Approval;1;7;7;5;130
IDEA016;Mail Delivery Optimization;DIR_Mail_Operations;Mail;Operations;In Development;2;7;9;6;170
IDEA017;Fulfilment Warehouse Automation;DIR_Fulfilment_Ops;Fulfilment;Operations;Ready for Solution;2;9;8;8;350
IDEA018;Business Solutions CRM;DIR_BizSol_Commercial;Business Solutions;Commercial;In Acceptance;1;8;7;6;200
IDEA019;Retail Customer Experience;DIR_Retail_Commercial;Retail & Financial Services;Commercial;Pitch;1;7;8;5;180
IDEA020;Banco CTT Security Enhancement;DIR_CISO;Banco CTT;CISO;In Development;2;8;9;9;120
